,Sensor Ext 1,,,,,,Sensor Int 1,,,,,,Sensor Int 2,,,
Time,Temperature,Humidity,CO2,VOC,CO,Particulate,Temperature,Humidity,CO2,VOC,CO,Particulate,Temperature,Humidity,CO2,Printer Status
00:00:13,20.64,41.42,551,89,0.51,10,18.53,36.76,422,381,3.64,29,18.77,51.04,407,PAUSED
00:01:13,24.19,49.05,417,161,1.31,35,25.88,42.77,577,306,4.96,35,24.61,31.64,402,PAUSED
00:02:13,25.38,58.3,509,149,1.28,42,22.68,39.85,434,89,2.17,46,24.71,39.34,419,ERROR
00:03:13,,,,,,,20.3,50.75,569,50,0.85,37,26.92,57.54,470,PRINTING
00:04:13,27.96,55.91,439,195,3.53,22,27.26,56.18,434,458,2.74,4,22.17,52.67,589,PRINTING
00:05:13,20.87,36.9,581,407,1.39,23,27.99,38.82,467,58,4.64,6,20.59,58.66,600,IDLE
00:06:13,25.34,36.88,514,257,3.77,21,25.25,32.09,504,1,2.06,43,22.07,57.69,435,IDLE
00:07:13,,,,,,,24.76,32.68,422,406,0.87,45,21.98,45.12,441,ERROR
00:08:13,21.47,35.74,549,193,2.71,50,24.29,45.71,480,172,1.77,36,23.68,30.68,387,PRINTING
00:09:13,26.23,34.85,541,176,1.69,5,23.82,53.81,512,390,4.94,0,,,,PAUSED
00:10:13,19.04,55.46,594,449,0.99,5,18.83,58.04,415,229,1.89,18,20.41,59.97,491,IDLE
00:11:13,25.91,44.52,564,158,4.73,43,22.9,47.01,593,440,3.33,7,23.93,46.9,446,ERROR
00:12:13,22.64,48.65,464,180,2.34,4,26.53,49.71,553,446,2.62,22,23.95,34.1,385,PRINTING
00:13:13,20.73,40.96,506,439,2.59,20,25.4,34.55,385,121,0.78,4,19.58,42.35,385,PRINTING
00:14:13,21.7,59.56,479,449,2.69,18,26.96,43.73,468,29,0.1,42,23.63,34.2,408,IDLE
00:15:13,18.12,46.72,383,27,1.71,39,27.38,34.08,498,149,0.91,12,27.55,37.23,559,PRINTING
00:16:13,,,,,,,27.53,43.38,457,113,4.93,42,21.42,31.55,471,PRINTING
00:17:13,25.9,53.31,498,185,3.72,34,21.45,56.89,588,316,0.67,27,19.67,45.7,547,IDLE
00:18:13,18.59,34.26,508,193,1.21,16,26.84,55.58,516,240,1.93,27,26.6,45.76,549,IDLE
00:19:13,25.0,59.17,431,187,1.58,14,20.56,38.19,592,134,3.58,8,20.04,35.33,496,ERROR
00:20:13,27.03,52.81,591,15,4.07,41,18.67,30.92,431,162,1.75,38,18.6,50.35,399,PAUSED
00:21:13,24.75,50.93,424,471,1.85,34,19.63,47.59,573,74,0.6,12,27.05,38.16,425,PRINTING
00:22:13,23.29,58.96,580,13,4.36,47,27.09,43.6,600,61,1.93,2,22.03,42.46,390,ERROR
00:23:13,23.13,30.63,448,67,2.74,33,27.57,38.06,517,230,2.68,35,23.14,30.48,582,PRINTING
