,Sensor Ext 1,,,,,,Sensor Int 1,,,,,,Sensor Int 2,,,
Time,Temperature,Humidity,CO2,VOC,CO,Particulate,Temperature,Humidity,CO2,VOC,CO,Particulate,Temperature,Humidity,CO2,Printer Status
10:40:13,22.57,40.13,566,131,4.8,26,27.56,59.69,510,93,3.41,15,26.41,50.86,410,PAUSED
10:41:13,19.08,48.4,402,125,2.14,45,20.63,30.51,566,192,3.95,14,25.97,32.94,478,PRINTING
10:42:13,23.84,58.64,569,316,4.86,46,27.39,38.72,398,262,3.51,40,26.29,45.69,405,IDLE
10:43:13,19.68,52.78,391,331,4.33,47,23.59,55.88,558,381,2.39,40,26.79,42.36,468,PRINTING
10:44:13,22.14,48.15,487,496,0.42,34,27.81,51.63,431,59,2.52,39,22.97,59.59,444,ERROR
10:45:13,23.23,53.19,569,101,3.54,4,21.55,32.25,540,433,3.84,29,20.84,38.31,385,ERROR
10:46:13,18.17,34.03,403,30,2.32,15,23.46,51.57,573,106,4.14,35,24.75,58.25,544,PAUSED
10:47:13,24.39,48.55,451,147,1.71,13,19.32,39.13,544,444,0.52,33,22.01,49.8,500,IDLE
10:48:13,22.57,33.47,501,164,1.98,21,19.85,57.27,462,189,4.67,5,26.57,44.29,435,ERROR
10:49:13,23.28,55.51,464,21,2.93,49,25.86,30.49,477,306,2.57,33,20.86,56.92,445,ERROR
10:50:13,22.7,58.7,405,497,3.36,31,23.18,57.42,396,109,0.06,21,27.6,30.68,408,ERROR
10:51:13,18.57,45.49,404,322,0.79,28,27.8,59.74,487,201,0.08,31,23.71,38.25,526,IDLE
10:52:13,21.02,55.29,563,395,1.65,17,18.72,44.53,505,189,1.44,17,27.85,30.93,480,PRINTING
10:53:13,22.96,46.99,581,470,0.33,8,23.82,57.35,478,368,4.58,9,21.27,46.11,517,PAUSED
10:54:13,21.22,38.54,524,49,0.49,50,26.8,43.05,486,31,2.23,30,23.56,59.99,535,PRINTING
10:55:13,24.86,30.7,514,0,2.61,36,22.22,32.45,412,394,2.8,42,21.76,46.18,474,PAUSED
10:56:13,21.14,35.67,596,145,2.0,10,19.7,46.04,556,427,2.13,18,26.63,44.41,485,IDLE
10:57:13,20.84,33.06,527,151,1.68,31,22.3,52.73,480,398,0.26,6,22.18,40.45,556,IDLE
10:58:13,22.6,49.73,442,419,3.67,18,26.52,42.32,499,50,3.21,39,21.68,53.95,507,IDLE
10:59:13,22.46,57.56,589,469,1.9,41,,,,,,,22.85,55.88,563,IDLE
11:00:13,21.92,51.73,539,8,1.63,46,20.73,56.36,523,163,4.65,6,25.43,47.64,574,PRINTING
11:01:13,,,,,,,23.96,33.4,460,367,2.13,36,24.98,55.21,491,PRINTING
11:02:13,26.44,39.49,441,34,2.95,9,27.15,47.44,506,417,3.67,45,21.53,34.32,503,PRINTING
11:03:13,22.4,35.42,408,10,3.98,41,,,,,,,22.42,54.06,566,PRINTING
11:04:13,26.04,47.32,595,94,0.4,29,25.77,38.41,537,18,0.48,13,25.66,35.29,469,IDLE
11:05:13,,,,,,,19.82,50.48,410,174,3.1,21,26.83,39.31,421,PRINTING
11:06:13,23.42,41.26,491,215,2.0,14,21.42,43.75,437,421,4.17,21,24.2,42.38,499,IDLE
11:07:13,19.28,55.45,429,127,3.99,46,18.7,34.7,530,24,0.21,29,22.96,34.24,395,ERROR
11:08:13,25.03,52.39,513,167,1.42,47,22.67,50.38,566,341,2.9,18,23.72,52.6,479,IDLE
11:09:13,27.88,56.48,397,350,3.21,35,25.23,53.72,410,80,4.62,35,24.09,52.41,502,PRINTING
11:10:13,27.95,44.5,491,333,3.82,31,20.58,48.47,574,164,1.44,43,20.87,48.93,452,PAUSED
11:11:13,27.14,36.63,396,374,2.24,16,24.37,42.01,478,237,0.5,35,21.86,33.09,452,PAUSED
11:12:13,26.61,30.41,457,202,1.15,8,21.82,30.71,583,238,0.98,33,18.6,44.39,593,ERROR
11:13:13,20.57,55.13,456,393,0.66,21,19.94,43.67,570,35,4.06,16,24.91,49.29,461,IDLE
11:14:13,22.44,40.72,590,236,2.07,35,18.64,30.68,479,435,1.0,6,24.85,47.09,410,ERROR
11:15:13,18.35,31.42,493,343,4.96,17,27.99,50.6,580,197,1.72,39,21.57,31.6,467,PAUSED
11:16:13,25.22,39.73,581,456,4.18,9,26.82,51.24,470,250,4.25,49,18.94,49.02,414,PRINTING
11:17:13,18.48,50.47,566,247,2.93,37,19.11,30.34,422,263,3.89,2,25.31,48.89,381,ERROR
11:18:13,26.1,36.67,562,297,0.05,26,,,,,,,21.83,45.08,543,IDLE
11:19:13,25.06,31.14,478,379,0.42,40,24.4,59.17,426,220,1.32,22,,,,IDLE
11:20:13,21.35,39.47,451,32,1.41,24,24.42,31.38,461,495,0.11,43,27.7,42.86,578,PRINTING
11:21:13,27.76,31.18,448,280,0.38,49,25.03,59.5,465,54,2.96,11,26.9,36.44,572,ERROR
11:22:13,,,,,,,24.28,55.92,581,380,4.57,21,27.83,42.1,582,IDLE
11:23:13,18.49,53.1,475,355,4.03,37,22.43,53.52,402,439,2.4,45,24.31,53.81,491,PRINTING
11:24:13,19.44,56.28,420,271,2.55,12,25.26,30.43,504,470,2.22,49,18.8,46.79,500,IDLE
11:25:13,24.46,37.16,575,411,0.19,36,23.05,56.1,599,161,4.89,48,20.18,37.88,513,IDLE
11:26:13,21.46,46.4,479,89,0.78,48,20.07,53.52,493,83,1.98,10,18.59,55.45,430,PRINTING
11:27:13,27.49,36.1,438,113,2.63,24,21.11,57.78,454,215,2.92,3,26.4,41.47,508,PRINTING
11:28:13,24.17,39.26,456,166,1.04,9,24.02,55.47,421,83,2.0,3,18.83,31.78,543,PAUSED
11:29:13,,,,,,,18.05,45.99,464,61,2.15,29,25.92,34.12,408,ERROR
11:30:13,18.13,35.07,593,281,3.13,43,24.23,43.47,545,80,0.68,22,21.15,43.99,444,ERROR
11:31:13,20.69,56.61,526,416,3.9,21,21.68,43.35,463,169,3.12,22,25.87,39.27,418,IDLE
11:32:13,,,,,,,19.61,53.39,414,248,2.95,42,21.18,53.25,569,ERROR
11:33:13,24.33,31.99,489,385,3.29,25,19.76,41.19,459,494,4.78,45,22.07,39.64,423,PRINTING
11:34:13,22.04,56.89,572,300,1.72,11,21.77,42.59,417,428,2.63,31,24.75,57.0,550,PAUSED
11:35:13,19.09,37.32,540,238,0.87,11,20.76,50.69,595,348,1.93,0,26.35,51.67,404,IDLE
11:36:13,22.43,45.75,595,111,1.83,32,,,,,,,19.45,40.94,402,IDLE
11:37:13,18.48,37.05,459,458,4.68,30,18.37,31.81,535,70,2.36,47,24.75,45.52,441,PRINTING
11:38:13,23.01,36.14,471,458,0.48,43,25.33,43.58,593,19,1.49,28,23.72,39.66,521,PAUSED
11:39:13,27.35,47.31,575,61,0.06,13,25.82,58.5,481,101,2.11,15,27.84,31.95,498,IDLE
11:40:13,,,,,,,23.97,43.81,599,162,3.35,46,19.35,52.47,568,ERROR
11:41:13,26.66,51.64,387,476,4.02,8,24.83,54.29,395,478,3.07,43,22.55,30.07,432,IDLE
11:42:13,27.4,30.11,517,397,3.19,3,22.86,34.33,497,485,3.93,37,19.07,52.89,468,ERROR
11:43:13,22.87,45.85,596,66,3.65,45,27.35,41.75,527,5,4.17,11,27.61,51.11,397,PAUSED
11:44:13,18.77,48.75,381,388,3.33,49,23.23,32.5,556,48,1.76,18,22.76,42.25,407,PAUSED
11:45:13,27.75,34.31,419,160,1.33,7,26.19,48.72,575,290,2.89,16,24.95,48.83,522,IDLE
11:46:13,21.07,59.07,536,495,2.52,36,24.08,39.68,490,458,1.77,17,27.01,53.04,594,ERROR
11:47:13,26.5,33.38,411,483,3.39,43,22.84,30.09,520,197,2.24,37,19.24,53.61,562,PRINTING
11:48:13,21.49,34.46,533,220,3.57,27,26.27,52.36,598,155,2.67,38,18.25,32.23,471,PRINTING
11:49:13,27.86,51.77,447,453,0.18,44,20.06,42.63,382,366,4.97,38,22.28,52.49,539,ERROR
11:50:14,23.15,47.91,501,499,4.21,34,25.88,50.34,390,346,0.96,45,19.51,33.16,585,PAUSED
11:51:14,,,,,,,23.94,41.72,443,184,2.85,7,22.9,38.48,595,PAUSED
11:52:14,27.47,55.64,383,394,1.69,25,19.62,33.55,413,412,2.26,18,24.15,38.48,410,PRINTING
11:53:14,19.88,42.44,485,294,2.27,30,26.51,48.32,466,141,2.65,1,23.0,47.76,482,IDLE
11:54:14,,,,,,,,,,,,,21.7,53.79,492,PAUSED
11:55:14,22.99,32.19,528,178,1.67,50,20.23,57.44,481,119,0.3,35,24.9,38.03,436,IDLE
11:56:14,25.63,30.09,510,400,2.67,36,18.83,49.53,535,33,3.1,48,18.66,41.88,529,ERROR
11:57:14,23.67,57.47,577,379,2.78,46,26.54,36.93,484,268,1.69,39,24.24,33.37,438,PAUSED
11:58:14,,,,,,,27.03,42.14,445,458,0.31,10,19.44,39.62,520,ERROR
11:59:14,21.15,46.13,587,103,4.15,38,24.98,30.7,438,115,4.44,31,23.43,50.11,420,ERROR
12:00:14,21.3,30.24,552,338,2.46,7,23.93,48.87,513,146,3.57,18,,,,ERROR
12:01:14,27.81,51.09,404,72,1.57,44,20.96,38.41,513,330,4.42,41,25.65,59.43,558,IDLE
12:02:14,24.48,46.7,440,238,3.62,2,19.85,31.06,537,466,0.93,42,23.45,34.3,450,PAUSED
12:03:14,,,,,,,22.71,34.25,410,500,3.67,45,21.63,50.75,572,PAUSED
12:04:14,21.54,50.68,463,498,1.48,45,26.29,53.88,486,473,4.08,0,26.0,32.89,495,IDLE
12:05:14,21.14,32.2,490,221,3.7,0,23.47,37.99,452,186,4.17,8,27.65,32.93,578,IDLE
12:06:14,22.18,42.68,419,434,0.15,0,20.27,44.68,447,458,1.75,38,21.24,40.81,453,PAUSED
12:07:14,22.2,37.29,524,257,0.11,47,21.66,52.17,423,441,1.38,38,18.89,39.99,399,ERROR
12:08:14,18.04,52.5,564,73,3.37,40,24.36,32.6,546,222,3.73,39,27.09,31.55,575,PAUSED
12:09:14,22.38,41.63,567,275,1.8,4,19.87,31.3,446,310,4.39,35,18.99,52.44,426,ERROR
12:10:14,27.21,57.83,520,315,3.35,50,27.23,38.59,596,456,4.69,42,26.09,44.51,424,PAUSED
12:11:14,21.91,51.65,393,297,0.7,1,20.8,37.85,538,95,0.97,20,21.94,35.99,482,ERROR
12:12:14,18.35,47.38,516,314,0.01,44,18.16,48.8,418,197,2.04,23,18.93,47.91,539,PRINTING
12:13:14,20.63,52.15,458,433,3.98,9,25.48,40.4,474,242,4.33,1,24.24,34.29,590,PRINTING
12:14:14,21.14,42.57,557,404,1.9,20,20.37,59.32,547,174,4.84,27,21.78,37.23,524,PAUSED
12:15:14,18.47,41.9,523,284,2.13,37,26.64,58.05,555,3,3.33,2,25.96,38.79,524,PRINTING
12:16:14,27.91,46.3,433,312,2.53,11,18.82,46.69,570,107,4.16,7,20.59,46.96,569,PAUSED
12:17:14,18.65,59.76,561,394,1.6,25,23.79,34.99,383,339,4.09,45,20.94,39.09,579,PRINTING
12:18:14,25.53,45.05,481,124,3.44,12,20.61,36.63,485,263,1.12,30,24.29,44.62,416,PRINTING
12:19:14,19.68,31.24,591,284,0.23,14,27.11,59.49,596,2,4.57,4,18.12,56.48,565,ERROR
12:20:14,18.34,47.49,403,315,1.72,35,23.67,36.76,488,277,4.75,7,24.58,46.75,522,PAUSED
12:21:14,20.42,52.85,597,185,2.22,20,27.62,46.27,586,247,3.62,35,19.86,32.26,542,IDLE
12:22:14,21.88,32.23,594,430,0.17,47,26.35,56.15,452,296,1.04,4,20.85,50.6,597,IDLE
12:23:14,27.23,47.82,486,192,0.12,10,19.95,46.9,510,222,2.71,49,22.22,33.78,592,ERROR
12:24:14,24.23,43.38,385,137,0.76,34,24.79,42.01,400,164,1.22,2,26.78,54.34,520,ERROR
12:25:14,18.91,37.55,409,372,3.29,12,22.02,35.83,481,277,1.01,2,25.86,41.53,384,PRINTING
12:26:14,23.81,47.94,595,128,4.35,25,23.04,57.06,482,231,1.69,33,26.87,55.27,525,PRINTING
12:27:14,,,,,,,22.25,55.16,413,373,1.26,38,26.12,59.42,598,IDLE
12:28:14,18.92,49.67,380,325,1.49,2,20.77,38.67,590,272,4.91,46,25.23,53.08,399,PRINTING
12:29:14,20.66,52.39,505,333,1.17,48,21.5,40.27,439,17,4.89,14,20.57,33.1,470,PAUSED
12:30:14,26.55,32.15,552,176,1.98,10,23.43,57.61,387,156,2.73,5,26.61,45.45,511,PAUSED
12:31:14,25.75,59.62,410,181,1.64,1,19.23,36.87,457,282,0.23,32,24.65,57.78,547,PRINTING
12:32:14,24.74,40.86,582,119,1.81,7,18.3,54.11,489,117,0.69,17,19.64,43.67,549,ERROR
12:33:14,18.38,57.65,561,299,4.74,20,19.43,58.35,414,416,2.21,47,23.83,41.08,493,PAUSED
12:34:14,18.76,37.55,520,367,1.84,17,22.93,49.12,500,362,3.65,45,23.26,33.42,426,PRINTING
12:35:14,26.93,57.69,584,478,1.26,35,22.08,55.22,550,184,4.21,38,27.31,39.82,403,IDLE
12:36:14,26.06,34.6,584,324,1.15,39,23.18,50.01,553,441,2.13,45,19.75,59.54,392,PAUSED
12:37:14,20.63,42.72,401,292,3.69,43,21.72,32.19,565,183,4.67,43,20.95,37.82,565,PRINTING
12:38:14,23.07,48.72,481,159,0.22,45,19.87,43.26,511,148,2.72,8,24.28,54.13,489,ERROR
12:39:14,23.35,37.31,447,298,4.56,48,22.64,49.94,519,219,4.72,35,20.49,56.26,515,IDLE
12:40:14,21.25,39.49,598,16,4.53,22,22.35,49.13,399,342,0.55,31,21.1,33.44,443,ERROR
12:41:14,27.48,53.67,443,372,4.85,12,,,,,,,22.25,45.94,461,ERROR
12:42:14,18.71,53.18,390,346,3.62,47,21.09,32.58,483,401,4.25,30,25.19,47.35,509,PRINTING
12:43:14,23.78,44.51,445,381,0.22,38,18.68,41.49,433,48,3.42,36,25.62,54.89,429,PRINTING
12:44:14,20.61,38.93,529,413,0.45,19,27.3,49.3,430,342,1.81,31,26.94,55.48,538,PRINTING
12:45:14,18.39,49.92,497,427,0.07,43,25.93,57.87,562,372,2.97,28,20.59,48.72,516,PAUSED
12:46:14,27.86,52.01,382,499,3.6,50,27.73,41.03,532,210,2.54,6,18.86,37.22,545,PRINTING
12:47:14,23.42,40.87,531,143,1.5,26,23.92,43.4,480,333,2.76,41,18.49,31.27,507,ERROR
12:48:14,18.06,49.95,501,329,2.92,32,24.15,45.69,550,42,0.98,42,24.16,36.26,596,ERROR
12:49:14,24.56,48.07,454,300,3.76,12,,,,,,,26.13,56.91,467,PRINTING
12:50:14,27.72,32.46,512,283,4.79,33,21.58,34.49,522,475,2.84,14,27.13,51.86,482,ERROR
12:51:14,18.67,52.55,479,51,4.43,19,25.67,44.49,494,61,3.82,50,22.1,33.48,506,IDLE
12:52:14,22.77,34.71,488,451,2.42,40,23.92,47.04,527,73,1.81,40,21.07,43.68,590,PRINTING
12:53:14,19.45,48.74,520,248,0.07,47,26.48,48.82,430,73,2.91,17,22.82,45.13,529,PAUSED
12:54:14,19.87,53.68,599,306,2.61,40,27.98,55.03,434,59,0.19,12,18.31,57.61,522,PRINTING
12:55:14,26.87,59.73,468,303,0.95,26,24.89,50.1,445,271,2.44,19,24.5,49.01,523,IDLE
12:56:14,26.49,42.18,465,210,4.03,5,21.37,41.97,429,495,3.41,5,20.44,43.23,460,PAUSED
12:57:14,22.43,50.93,566,150,1.1,42,20.66,42.81,430,460,1.18,17,,,,PAUSED
12:58:14,20.27,36.21,477,115,2.34,46,18.93,42.17,414,357,2.48,42,22.11,51.38,555,IDLE
12:59:14,,,,,,,20.66,30.86,506,316,1.24,33,18.15,45.77,516,PAUSED
13:00:14,24.14,44.04,575,67,0.07,13,27.15,43.13,591,107,3.57,25,23.97,46.88,587,PAUSED
13:01:14,25.61,32.62,598,179,1.02,28,26.33,49.8,473,184,1.43,18,26.39,59.7,465,IDLE
13:02:14,18.57,59.78,571,48,2.43,11,23.27,37.54,477,130,2.1,42,27.56,44.85,474,ERROR
13:03:14,18.86,52.78,511,291,1.1,27,20.91,48.52,582,377,3.77,40,25.92,46.16,462,ERROR
13:04:14,27.12,58.74,541,336,1.46,50,21.16,46.71,580,471,1.51,46,27.42,48.12,462,PRINTING
13:05:14,19.96,59.6,545,4,4.46,3,,,,,,,25.56,30.44,386,IDLE
13:06:14,21.16,48.85,558,437,0.11,2,26.31,45.12,567,400,4.31,16,21.11,36.42,447,ERROR
13:07:14,24.91,42.77,584,67,4.55,44,23.59,50.74,429,315,1.39,1,19.8,36.95,537,ERROR
13:08:14,26.51,49.38,491,364,4.8,7,21.99,36.17,597,18,2.75,3,23.38,46.25,382,PRINTING
13:09:14,,,,,,,22.63,49.77,558,43,0.27,34,,,,PRINTING
13:10:14,24.17,34.29,525,236,2.57,35,20.25,33.89,388,289,3.45,31,20.28,39.22,397,PRINTING
13:11:14,18.5,43.1,463,99,3.86,2,25.91,50.2,526,358,1.38,1,24.71,43.88,542,IDLE
13:12:14,18.39,56.65,534,83,1.75,45,,,,,,,26.45,36.78,473,IDLE
13:13:14,24.09,58.96,439,407,3.22,28,20.99,39.49,507,192,1.65,4,20.25,40.52,588,ERROR
13:14:14,24.93,56.95,487,321,4.02,34,21.66,44.98,594,9,2.26,13,26.6,58.05,504,PAUSED
13:15:14,26.37,41.9,477,227,2.03,23,26.1,39.47,555,154,0.14,14,18.43,57.66,382,IDLE
13:16:14,22.99,32.84,501,235,1.18,39,21.08,47.25,441,303,4.63,26,21.11,39.87,547,PAUSED
13:17:14,26.03,47.96,407,205,2.44,31,,,,,,,24.29,30.26,593,ERROR
13:18:14,25.8,40.05,577,131,2.45,33,19.32,39.43,513,366,4.13,46,18.17,37.04,453,ERROR
13:19:14,19.78,54.39,410,161,3.02,31,21.04,58.88,514,339,1.89,1,20.8,33.22,436,ERROR
13:20:14,26.59,37.08,583,115,0.17,33,18.16,45.34,551,20,3.26,37,20.4,30.07,443,ERROR
13:21:14,19.97,47.38,465,11,0.7,34,26.58,46.98,438,15,4.89,4,21.64,47.05,555,PRINTING
13:22:14,19.16,55.92,516,133,3.97,4,20.86,33.18,467,76,2.16,12,19.61,46.24,471,PAUSED
13:23:14,23.52,35.29,385,341,4.36,22,18.06,42.93,531,421,1.05,0,18.59,50.86,417,PAUSED
13:24:14,27.62,45.28,469,268,2.46,12,,,,,,,23.37,48.7,515,IDLE
13:25:14,27.96,49.09,579,274,1.13,18,25.82,46.89,459,232,2.46,42,23.3,39.32,570,PAUSED
13:26:14,19.53,43.91,567,159,0.45,15,26.93,57.88,390,105,1.51,11,21.67,35.12,443,PAUSED
13:27:14,27.54,39.67,384,434,0.56,5,25.7,58.52,524,309,1.66,31,20.13,30.78,509,PRINTING
13:28:14,18.71,41.85,395,259,4.44,29,18.12,47.28,424,359,2.96,5,21.58,52.16,561,ERROR
13:29:14,24.58,59.89,418,322,0.13,32,18.35,43.9,401,139,4.55,12,26.43,43.42,534,ERROR
13:30:14,24.66,39.36,393,223,2.99,40,19.97,34.85,594,296,4.12,34,26.42,50.45,528,PRINTING
13:31:14,18.91,32.66,523,435,4.65,2,18.8,34.47,464,284,2.19,14,,,,PAUSED
13:32:14,21.35,56.01,597,455,0.19,40,20.02,37.95,598,85,4.14,22,23.58,37.13,544,PRINTING
13:33:14,,,,,,,19.64,40.05,463,281,4.45,5,,,,PAUSED
13:34:14,21.35,59.74,463,359,2.87,42,21.24,30.08,532,80,1.75,13,20.54,55.31,542,IDLE
13:35:14,23.25,39.15,599,468,3.0,49,26.04,36.19,469,106,3.5,15,20.22,50.77,519,PAUSED
13:36:14,18.11,39.43,534,256,2.99,23,19.0,58.3,495,144,4.35,1,25.15,50.05,535,ERROR
13:37:14,18.35,32.27,490,97,3.11,8,,,,,,,19.6,36.02,572,ERROR
13:38:14,23.56,59.6,550,185,0.16,23,23.46,56.16,537,198,3.9,23,21.3,58.47,383,ERROR
13:39:14,27.68,59.46,395,362,0.39,8,23.31,32.7,481,60,2.96,22,25.24,37.67,509,IDLE
13:40:14,20.61,49.84,588,122,0.07,45,,,,,,,22.2,57.38,413,PAUSED
13:41:14,27.36,41.81,515,329,4.03,9,26.33,45.24,491,158,3.33,12,22.97,33.43,423,ERROR
13:42:14,24.62,55.26,392,73,0.47,29,22.96,51.92,475,292,3.96,13,19.08,39.92,496,PAUSED
13:43:14,19.84,50.32,569,257,4.08,8,20.92,40.32,440,73,0.55,45,24.45,36.43,480,PAUSED
13:44:14,18.9,43.22,573,51,0.75,13,26.18,58.6,414,443,4.97,27,24.46,36.04,567,IDLE
13:45:14,27.4,37.36,502,466,4.67,29,20.79,44.52,582,330,3.25,39,19.91,55.03,416,ERROR
13:46:14,21.13,31.19,396,464,3.28,18,18.6,45.69,403,58,3.65,8,22.95,56.49,428,IDLE
13:47:14,21.09,31.24,411,26,2.47,20,21.7,42.37,457,483,1.09,20,20.64,38.29,409,PRINTING
13:48:14,25.32,36.01,466,386,2.99,30,19.19,58.56,461,391,3.58,26,25.85,53.24,527,IDLE
13:49:14,20.97,31.38,501,53,3.77,37,26.51,36.99,465,246,3.83,26,20.89,38.45,396,PRINTING
13:50:14,21.14,40.19,455,363,4.95,35,19.68,50.09,532,204,4.5,47,24.21,31.39,381,ERROR
13:51:14,27.12,58.02,475,490,2.59,44,27.3,41.37,447,180,0.87,4,23.08,47.71,555,IDLE
13:52:14,23.63,56.21,540,436,4.86,16,19.35,42.62,484,245,3.46,35,18.73,57.76,435,IDLE
13:53:14,22.82,42.48,474,104,4.83,12,18.4,38.49,446,404,4.13,46,26.47,38.01,385,IDLE
13:54:14,21.72,35.82,386,70,3.5,43,18.24,32.71,442,401,0.79,2,24.36,46.04,597,PAUSED
13:55:14,19.98,30.84,588,375,3.51,46,27.4,46.77,552,114,3.34,49,26.1,51.93,585,IDLE
13:56:14,24.06,30.98,406,361,1.68,48,25.25,47.41,546,168,0.97,6,19.29,50.69,504,IDLE
13:57:14,24.98,45.99,382,453,1.9,44,26.94,59.68,437,106,2.76,39,26.58,53.45,420,PAUSED
13:58:14,22.22,44.75,454,470,0.38,13,25.26,44.22,567,426,4.98,31,21.33,53.42,421,ERROR
13:59:14,23.55,55.36,551,25,0.5,40,19.61,37.91,579,400,2.61,37,21.2,50.8,506,ERROR
14:00:14,26.85,51.49,509,446,1.63,47,,,,,,,27.67,51.65,541,ERROR
14:01:14,25.04,48.45,519,275,4.91,2,,,,,,,20.52,49.31,542,PRINTING
14:02:14,20.09,49.62,573,383,3.07,11,,,,,,,18.42,30.77,544,ERROR
14:03:14,20.24,43.64,415,143,0.72,1,21.49,41.83,434,427,3.01,46,18.93,30.79,600,ERROR
14:04:14,24.38,57.07,534,152,2.59,46,24.39,43.57,453,2,3.88,34,24.84,35.9,536,PAUSED
14:05:14,27.8,57.34,523,479,0.53,15,20.59,33.09,562,159,2.77,37,24.14,42.61,481,IDLE
14:06:14,19.06,42.08,518,209,4.86,4,25.09,38.01,549,336,0.08,14,,,,IDLE
14:07:14,26.27,46.96,411,90,0.93,35,26.56,40.62,490,284,0.41,24,20.88,59.43,565,ERROR
14:08:14,20.69,49.15,470,256,1.74,14,25.82,36.7,570,412,0.6,14,24.07,40.71,519,ERROR
14:09:14,20.36,37.71,402,228,0.85,43,18.87,58.86,565,71,0.21,42,25.25,36.85,523,ERROR
14:10:14,25.26,33.69,530,302,3.82,0,27.74,45.35,472,83,2.82,7,25.75,42.51,553,PAUSED
14:11:14,18.59,51.87,399,67,4.45,32,18.28,50.08,492,358,4.07,28,22.01,41.22,494,PAUSED
14:12:14,27.08,40.22,487,438,4.19,15,26.41,50.28,587,411,0.88,11,23.08,31.43,552,ERROR
14:13:14,21.25,35.51,533,163,2.74,5,21.56,55.21,433,447,0.41,9,18.68,42.73,415,ERROR
14:14:14,27.29,50.25,443,104,3.06,42,21.35,38.71,502,274,4.79,34,,,,PAUSED
14:15:14,20.47,46.88,581,91,0.94,13,,,,,,,24.02,46.74,503,ERROR
14:16:14,22.52,50.65,476,19,2.51,39,23.79,44.8,417,18,1.47,47,22.42,40.89,380,ERROR
14:17:14,27.73,57.32,588,340,1.96,10,,,,,,,20.76,32.59,475,PRINTING
